"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1175,1195,1195,1195,1150,1150,1150,1100,1100,1099,1100,1150,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1250,1247.5,1250,1250,1275,1295,1250,1250,1250,1250,1295,1250,1250,1295,1295,1300,1295,1315,1300,1300,1350,1295
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,895,937.5,895,875,875,899,850,850,850,850,850,850,850,850,850,850,845,800,825,825,850,850,875,895,895,895,895,895,875,875,850,850,850,850,850,850,850,850,870,850,875,850,850,850,850,872.5,882,895,879,900,895,895,895,900,899,898,900,920,922,925,932,935,925,925
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,3999,3600,3650,3010,2597.5,3035,3157.5,3190,3200,3300,3360,3400,3390,3632.5,3600,3650,3550,3495,3450,3500,3530,3570,3600,3597,3585,3450,3360,3300,3250,3250,3200,3396,3400,3337.5,3246.5,3295,3295,3250,3226,3100,3100,3100,3100,3200,3195,3153,3239,3295,3297.5,3350,3350,3350,3295,3235,3295,3300,3350,3300,3350,3377,3350
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",4,,,,,,,,,,,,,3750,3600,3550,3550,3575,3047.5,3000,3000,3462.5,3375,3497.5,3472.5,3297.5,3200,3500,3500,3300,3050,2900,2950,2875,2900,3200,3200,3200,3225,3395,3695,3995,4200,3950,3500,3500,3450,3800,3797.5,3800,3850,3800,4190,4158,4400,4100,4025,4000,4000,3925,4100,4050,4275,4350,4495,4150,4400,4200,4450,4700
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1699.5,1650,1700,1750,1697.5,1695,1757.5,1850,1950,1950,2000,1925,1900,1895,1939,1977.5,2100,1850,1950,1995,2000
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,2250,2600,2797.5,2885,3100,3100,3097.5,3150,3200,3295,3350,3397.5,3112.5,3020,3000,3051,2842.5,2800,2890,2900,2900,2895,2700,2675,2695,2800,2795,2995,2995,2945,2795,2795,2795,2815,2800,2822.5,2847.5,2872.5,2995,2995,2995,2895,3000,3000,2995,3000,2995,3000,2995,2995,2995,2972.5,2995,2995,2995,2995,2950
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,950,950,950,900,950,970,950,925,912.5,900,900,900,900,900,900,950,950,900,900,945,950,925,900,900,900,900,925,950,950,945,949,950,950,950,950,950,950,950,950,950,995,995,975,995,995,995,999,995,995,1000,1000,1000,997,995,1025,1050,1000,1025
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1172.5,1250,1295,1250,1295,1242.5,1295,1300,1295,1250,1300,1295,1300,1295,1250,1275,1275,1250,1200,1200,1200,1250,1245,1250,1200,1200,1200,1200,1200,1199,1200,1199,1199,1200,1200,1195,1199.5,1226.5,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1289,1298,1295,1295,1297.5,1300,1327.5,1350,1325,1350,1350,1350,1350,1395,1350,1350
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,1600,1662.5,1550,1722.5,1650,1587.5,1550,1472.5,1450,1472.5,1499.5,1450,1450,1395,1395,1400,1400,1350,1350,1295,1395,1395,1395,1395,1395,1350,1400,1400,1350,1337.5,1295,1295,1295,1295,1350,1300,1295,1350,1395,1375,1400,1350,1425,1450,1400,1450,1450,1400,1425,1450,1500,1500,1497.5,1500,1495,1500,1500,1600,1695,1700,1695,1600,1595,1595,1550,1500,1545,1550
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,1190,1137.5,1172.5,1175,1149.5,1050,1074,1150,1185,1275,1200,1200,1195,1195,1195,1199,1195,1150,1100,1100,1150,1150,1150,1175,1195,1195,1162.5,1150,1195,1195,1200,1197,1195,1199,1200,1200,1195,1195,1195,1195,1150,1175,1150,1175,1195,1195,1195,1179,1195,1200,1250,1247.5,1250,1225,1225,1200,1200,1200,1250,1250,1250,1250,1250,1250,1290,1295,1295
