"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-10-31,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1701,0.00472533963378618,0.0137067938021454,0.08,52282
2015-10-31,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1195,0.000837520938023451,0.0075885328836425,0.0248713550600343,57470
2015-10-31,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,965,0,0.0136554621848739,0.0604395604395604,47690
2015-10-31,"Upper West Side","NY","New York","New York","New York",3,4181,-0.00712419852766564,-0.000717017208413002,0.0922152560083595,39032
2015-10-31,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",4,3417,0.00352422907488987,0.0136458024325126,0.091344618332801,17198
2015-10-31,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",5,2128,0.00141176470588235,0.00996677740863787,0.0997416020671835,22321
2015-10-31,"Upper East Side","NY","New York","New York","New York",6,4092,0,0.0194319880418535,0.151702786377709,39427
2015-10-31,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1053,-0.00284090909090909,0.00477099236641221,0.0273170731707317,40751
2015-10-31,"East New York","NY","New York","Kings","New York",8,2027,0.0180813661476645,0.0394871794871795,0.0662809047869542,5602
2015-10-31,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1195,0,0.00589225589225589,0.0283993115318417,61719
2015-10-31,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",10,1950,0.0108864696734059,0.0273972602739726,0.0992108229988726,13668
2015-10-31,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1505,0.00199733688415446,0.00668896321070234,0.0487804878048781,57885
2015-10-31,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1244,-0.00240577385725742,0.00161030595813205,0.0471380471380471,51393
2015-10-31,"Washington Heights","NY","New York","New York","New York",13,2777,0.00725426187885383,0.0392964071856287,0.259410430839002,4249
2015-10-31,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",14,2495,0.00200803212851406,0.0121703853955375,0.0899956312800349,11516
2015-10-31,"Astoria","NY","New York","Queens","New York",15,2520,0.0149013290374547,0.0413223140495868,0.0336341263330599,5122
2015-10-31,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1137,0,0.00441696113074205,0.0656044985941893,46816
2015-10-31,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2228,-0.000448631673396142,-0.00134468848050202,0.0386946386946387,28903
2015-10-31,"Hollywood","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",18,2867,0.00915170714537135,0.0279670132664037,0.140867489056904,5513
2015-10-31,"Williamsburg","NY","New York","Kings","New York",19,2914,0.00760719225449516,0.0104022191400832,0.0504686373467916,8628
2015-10-31,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2553,0.00551398188263096,0.00117647058823529,0.00829383886255924,3565
2015-10-31,"East Side","TX","El Paso","El Paso","El Paso",21,1087,0.00184331797235023,0.00369344413665743,0.0303317535545024,36910
2015-10-31,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1352,0.00445765230312036,0.0180722891566265,0.0612244897959184,43555
2015-10-31,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1034,0.00779727095516569,0.0278330019880716,0.0605128205128205,32043
2015-10-31,"Flatbush","NY","New York","Kings","New York",24,2220,0.00909090909090909,0.0306406685236769,0.0698795180722892,4450
2015-10-31,"Crown Heights","NY","New York","Kings","New York",25,2419,0.00665834373699542,0.0037344398340249,0.0333190944041008,2851
2015-10-31,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1022,-0.000977517106549365,0.00888450148075025,0.0386178861788618,29747
2015-10-31,"Jamaica","NY","New York","Queens","New York",27,2086,0.014591439688716,0.0409181636726547,0.106044538706257,9791
2015-10-31,"Harlem","NY","New York","New York","New York",28,3186,0.00822784810126582,0.0221366698748797,0.168316831683168,5838
2015-10-31,"Roosevelt","CA","Fresno","Fresno","Fresno",29,1080,0,0,0.0746268656716418,24710
2015-10-31,"Williamsbridge","NY","New York","Bronx","New York",30,1771,0.0154816513761468,0.0148997134670487,0.061114439784302,2669
2015-10-31,"East Harlem","NY","New York","New York","New York",31,3175,0.00284270372710044,0.0063391442155309,0.111694677871148,3012
2015-10-31,"Bushwick","NY","New York","Kings","New York",32,2430,0.00288898060255881,0.0108153078202995,0.0546875,897
2015-10-31,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,2567,-0.00155581485803189,0.00195160031225605,0.0490396403759706,57415
2015-10-31,"East Flatbush","NY","New York","Kings","New York",34,2021,0.0125250501002004,0.0406797116374871,0.0274529740721912,5527
2015-10-31,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1289,0.00155400155400155,0.0133647798742138,0.0395161290322581,50105
2015-10-31,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,2876,0.0105411103302881,0.0319339791890922,0.148562300319489,19727
2015-10-31,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1082,0.000925069380203515,0.0131086142322097,0.0841683366733467,30206
2015-10-31,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",38,923,-0.00323974082073434,-0.0107181136120043,-0.00645855758880517,38951
2015-10-31,"Corona","NY","New York","Queens","New York",39,2203,0.0175519630484988,0.049047619047619,0.0510496183206107,2595
2015-10-31,"Sunset Park","NY","New York","Kings","New York",40,2154,0.0146019783325483,0.0360750360750361,0.0652818991097923,1660
2015-10-31,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",41,1576,-0.00316255534471853,-0.00253164556962025,0.0416391275611368,28687
2015-10-31,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",42,2538,0.000394166338194718,0.0205066344993969,0.114135206321335,8198
2015-10-31,"Alief","TX","Houston","Harris","Houston",43,1289,0,0.00077639751552795,0.0531045751633987,21332
2015-10-31,"Borough Park","NY","New York","Kings","New York",44,2253,0.0130395683453237,0.0396862021227503,0.0947521865889213,3220
2015-10-31,"Elmhurst","NY","New York","Queens","New York",45,2206,0.0194085027726433,0.0420406235238545,0.0519790176442537,5949
2015-10-31,"Bullard","CA","Fresno","Fresno","Fresno",46,1378,-0.00144927536231884,0.00364166059723234,0.0376506024096386,29405
2015-10-31,"Mid City","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",47,2998,0.00368262470706394,0.0155826558265583,0.142530487804878,9981
2015-10-31,"Bensonhurst","NY","New York","Kings","New York",48,2163,0.00933271115258983,0.0384061449831973,0.127737226277372,3512
2015-10-31,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",49,1181,0.00339847068819031,0.0163511187607573,0.063963963963964,26572
2015-10-31,"Northeast","TX","El Paso","El Paso","El Paso",50,918,-0.00108813928182807,0.0099009900990099,0.00327868852459016,24198
2015-10-31,"Southwest Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",51,1245,0.0032232070910556,0.0105519480519481,0.0515202702702703,20938
2015-10-31,"Koreatown","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",52,2579,0.00899843505477308,0.0169558359621451,0.0763772954924875,2695
2015-10-31,"Westlake","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",53,2427,-0.00164541341011929,0.00247831474597274,0.10720802919708,2014
2015-10-31,"West San Jose","CA","San Jose","Santa Clara","San Jose",54,3692,0.000813228517213337,0.00298831839174137,0.0932780574474386,19919
2015-10-31,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",55,793,-0.00750938673341677,-0.012453300124533,0.00126262626262626,26136
2015-10-31,"East","TX","Dallas-Fort Worth","Tarrant","Arlington",56,1174,0.00170648464163823,0.00256191289496157,0.0510295434198747,16088
2015-10-31,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Long Beach",57,2013,-0.000496524329692155,-0.00739644970414201,0.0662076271186441,11438
2015-10-31,"Soundview","NY","New York","Bronx","New York",58,1797,0.00223089793641941,0.0011142061281337,0.0429483459082995,826
2015-10-31,"Lower East Side","NY","New York","New York","New York",59,3900,-0.00788603408801832,-0.00230237912509593,0.0425020048115477,4024
2015-10-31,"Canarsie","NY","New York","Kings","New York",60,2012,0.0136020151133501,0.0381836945304438,0.0730666666666667,3870
2015-10-31,"Northwest","TX","El Paso","El Paso","El Paso",61,1408,-0.00353857041755131,-0.00353857041755131,0.0158730158730159,22067
2015-10-31,"Southeast","TX","Dallas-Fort Worth","Tarrant","Arlington",62,1407,-0.00354107648725213,-0.000710227272727273,0.0391432791728213,24838
2015-10-31,"Logan Square","IL","Chicago","Cook","Chicago",63,1789,-0.00223089793641941,0.0130237825594564,0.0598341232227488,7794
2015-10-31,"South Bronx","NY","New York","Bronx","New York",64,1787,0.00224340998317443,-0.00167597765363128,0.0493247210804463,819
2015-10-31,"Preston Hollow","TX","Dallas-Fort Worth","Dallas","Dallas",65,2110,-0.00377714825306893,-0.000473709142586452,0.060834590246355,18160
2015-10-31,"South Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",66,1469,0.00136332651670075,0.0054757015742642,0.0545585068198134,41080
2015-10-31,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",67,2371,0.00211327134404058,0.011518771331058,0.0747960108794198,15128
2015-10-31,"Canoga Park","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",68,2410,0.00124636476942252,0.0134566862910008,0.0692102928127773,6425
2015-10-31,"Flushing","NY","New York","Queens","New York",69,2212,0.00866393068855449,0.0207660359944624,0.0468528159015618,10428
2015-10-31,"Downtown","CA","San Jose","Santa Clara","San Jose",70,3023,0.00165672630881378,0.0178451178451178,0.143343419062027,12018
2015-10-31,"South Ozone Park","NY","New York","Queens","New York",71,2067,0.0107579462102689,0.0319520718921618,0.0982996811902232,7645
2015-10-31,"Ahwatukee Foothills","AZ","Phoenix","Maricopa","Phoenix",72,1548,0.000646412411118293,0.00519480519480519,0.0573770491803279,27668
2015-10-31,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",73,1965,0.00306278713629403,0.00357507660878447,0.0916666666666667,3773
2015-10-31,"North Valley","CA","San Jose","Santa Clara","San Jose",74,3070,0.00523903077930583,0.0240160106737825,0.16464339908953,14296
2015-10-31,"Evergreen","CA","San Jose","Santa Clara","San Jose",75,3368,0.00417412045319022,0.0172153427967381,0.10862409479921,23319
2015-10-31,"Murray Hill","NY","New York","Queens","New York",76,2309,0.0113885238720981,0.0234929078014184,0.0509786071916249,8593
2015-10-31,"Sylmar","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",77,2324,0.00172413793103448,0.00824295010845987,0.0544464609800363,15254
2015-10-31,"Sheepshead Bay","NY","New York","Kings","New York",78,2110,0.00619933237958989,0.0158883004333173,0.050796812749004,8062
2015-10-31,"Willow Glen","CA","San Jose","Santa Clara","San Jose",79,3440,0.00203903291581707,0.00145560407569141,0.102564102564103,18331
2015-10-31,"West","TX","Dallas-Fort Worth","Tarrant","Arlington",80,1446,0,0,0.0501089324618736,22641
2015-10-31,"North Raleigh","NC","Raleigh","Wake","Raleigh",81,1488,0.000672494956287828,0.00134589502018843,0.0383810188415911,26345
2015-10-31,"Gravesend","NY","New York","Kings","New York",82,2162,0.0102803738317757,0.0275665399239544,0.0853413654618474,4060
2015-10-31,"Sharpstown","TX","Houston","Harris","Houston",83,1354,0.00073909830007391,0.00594353640416048,0.0512422360248447,12231
2015-10-31,"Northridge","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",84,2894,0.00766016713091922,0.0204513399153738,0.0742390497401633,16517
2015-10-31,"San Pedro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",85,2457,0.00244798041615667,0.0165494414563508,0.0673327541268462,15023
2015-10-31,"Little Village","IL","Chicago","Cook","Chicago",86,1322,0.0037965072133637,0.0153609831029186,0.0153609831029186,3083
2015-10-31,"Southwest","CA","San Diego","San Diego","Chula Vista",87,2092,0,0.0101400289715113,0.0987394957983193,11589
2015-10-31,"Forest Hills","NY","New York","Queens","New York",88,2202,0.0124137931034483,0.0222841225626741,0.00731930466605672,14131
2015-10-31,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Anaheim",89,2404,0.00417710944026733,0.013918177983973,0.063716814159292,9091
2015-10-31,"East Village","NY","New York","New York","New York",90,4550,-0.00655021834061135,0.0169870362092088,0.121794871794872,3309
2015-10-31,"Pacoima","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",91,2167,0.00184928340268146,0.00463606861381548,0.0622549019607843,10261
2015-10-31,"Mira Mesa","CA","San Diego","San Diego","San Diego",92,2297,0.0013077593722755,0.00745614035087719,0.0619509939898289,19100
2015-10-31,"Blossom Valley","CA","San Jose","Santa Clara","San Jose",93,3146,0.00833333333333333,0.0301244269810085,0.184487951807229,17216
2015-10-31,"West Rogers Park","IL","Chicago","Cook","Chicago",94,1550,-0.00449582530507386,-0.00449582530507386,-0.0183660544648512,12638
2015-10-31,"Far Rockaway","NY","New York","Queens","New York",95,2053,0.0198708395429707,0.0549845837615622,0.105546580506193,2779
2015-10-31,"Cordova-Appling","TN","Memphis","Shelby","Memphis",96,1262,-0.00864100549882168,-0.00941915227629513,0.0152855993563958,20742
2015-10-31,"Eldridge - West Oaks","TX","Houston","Harris","Houston",97,1868,-0.0053248136315229,-0.00691121743753323,0.0529875986471251,10900
